	Air	Blood	Brain	Breast	Bone	CdTe	GaAs	Glass (Pyrex)	Muscle	Polyethylene Terephthalate	Polymethyl Methacrylate	Polytetrafluoroethylene	Polyvinyl Chloride	Soft Tissue	Water	Adipose Tissue	PLA
										Mylar	PMMA	Teflon	PVC				
118.1	1.78090062031264E-4	0.169586110048402	0.173453700185157	0.163138516904645	0.312973831253869	6.76416140769181	1.97980140954142	0.337315070720117	0.180652482479799	0.206875678087156	0.182930823171589	0.316570302145997	0.23357327900262	0.169506313439597	0.161324755440085	0.152466656466094	0.153455431591284
118.2	1.78039610276529E-4	0.169538406926654	0.173405283800517	0.163094979838702	0.312820945491507	6.74964841041513	1.97604698918861	0.337179166584153	0.180644172552691	0.2068217132817	0.182886200278113	0.316474328924301	0.233446373454456	0.169459049817329	0.161280023524265	0.152427760991502	0.153414779103659
118.3	1.77989230298869E-4	0.169490770950032	0.1733569346833	0.16305149750435	0.312668490685767	6.73518144078213	1.97230464599024	0.33704356911728	0.180635890745393	0.206767820979564	0.182841647701776	0.316378510265166	0.233319810279127	0.169411851716827	0.161235352571961	0.152388909341073	0.153374164421452
118.4	1.77938921937127E-4	0.169443201968746	0.173308652684667	0.163008069787766	0.312516465259906	6.72076031446137	1.96857433094525	0.33690827737143	0.180627636939102	0.20671400102412	0.182797165272883	0.316282845792899	0.233193588266079	0.169364718993322	0.161190742449889	0.152350101429505	0.153333587509504
118.5	1.77888685030639E-4	0.169395699833463	0.17326043765623	0.162964696575458	0.312364867644271	6.70638484801241	1.9648559952925	0.336773290402256	0.180619411015617	0.206660253259205	0.182752752822292	0.316187335133025	0.233067706210051	0.169317651502486	0.161146193025169	0.152311337171728	0.153293048332691
118.6	1.77838519419234E-4	0.169348264395307	0.17321228945005	0.162921377754263	0.312213696276263	6.69205485888079	1.96114959050941	0.336638607269111	0.180611212857335	0.20660657752912	0.182708410181407	0.316091977912287	0.232942162911047	0.169270649100426	0.161101704165317	0.152272616482913	0.15325254685592
118.7	1.77788424943232E-4	0.169300895505856	0.173164207918639	0.162878113211347	0.312062949600294	6.67777016539301	1.95745506831054	0.336504227035034	0.180603042347246	0.206552973678632	0.182664137182183	0.315996773758639	0.232816957174305	0.169223711643688	0.161057275738251	0.152233939278461	0.153212083044131
118.8	1.77738401443443E-4	0.16925359301714	0.173116192914955	0.162834902834201	0.311912626067758	6.66353058675157	1.9537723806463	0.336370148766731	0.180594899368934	0.206499441552967	0.182619933657118	0.31590172230124	0.232692087810275	0.169176838989248	0.161012907612282	0.152195305474009	0.153171656862298
118.9	1.77688448761162E-4	0.169206356781638	0.173068244292399	0.162791746510645	0.311762724136985	6.64933594302999	1.95010147970157	0.336236371534557	0.180586783806567	0.206445980997811	0.182575799439251	0.315806823170451	0.232567553634588	0.169130030994519	0.16096859965612	0.152156714985427	0.153131268275425
119	1.7763856673817E-4	0.16915918665228	0.173020361904819	0.16274864412882	0.31161324227321	6.63518605516796	1.94644231789435	0.3361028944125	0.180578695544901	0.206392591859308	0.182531734362163	0.315712075997831	0.23244335346803	0.169083287517342	0.160924351738865	0.152118167728817	0.153090917248551
119.1	1.7758875521673E-4	0.169112082482443	0.172972545606501	0.162705595577194	0.311464178948534	6.62108074496638	1.94279484787444	0.335969716478162	0.180570634469269	0.20633927398406	0.182487738259974	0.315617480416127	0.232319486136517	0.169036608415987	0.160880163730012	0.152079663620512	0.153050603746746
119.2	1.77539014039587E-4	0.169065044125948	0.172924795252175	0.162662600744553	0.31131553264189	6.60701983508259	1.93915902252214	0.335836836812745	0.180562600465584	0.20628602721912	0.182443810967337	0.315523036059275	0.232195950471066	0.168989993549152	0.160836035499446	0.152041202577077	0.153010327735114
119.3	1.77489343049966E-4	0.16901807143706	0.172877110697005	0.162619659520007	0.311167301839003	6.59300314902548	1.93553479494688	0.335704254501031	0.180554593420333	0.206232851411997	0.182399952319441	0.315428742562393	0.232072745307772	0.168943442775962	0.16079196691744	0.152002784515304	0.152970089178789
119.4	1.77439742091569E-4	0.168971164270486	0.172829491796594	0.162576771792984	0.311019485032356	6.57903051115076	1.93192211848599	0.335571968631367	0.180546613220571	0.206179746410649	0.182356162152006	0.315334599561775	0.231949869487776	0.168896955955965	0.160747957854655	0.151964409352215	0.152929888042939
119.5	1.77390211008574E-4	0.168924322481375	0.17278193840698	0.162533937453233	0.310872080721156	6.56510174665618	1.92832094670332	0.335439978295645	0.180538659753923	0.206126712063484	0.182312440301281	0.315240606694889	0.231827321857246	0.168850532949131	0.16070400818214	0.151926077005063	0.152889724292765
119.6	1.77340749645631E-4	0.168877545925311	0.172734450384633	0.162491156390817	0.310725087411296	6.55121668157681	1.92473123338803	0.33530828258929	0.180530732908575	0.206073748219358	0.182268786604043	0.315146763600369	0.231705101267346	0.168804173615853	0.160660117771327	0.151887787391323	0.1528495978935
