Energy	Ytterbium	Lutetium	Hafnium	Tantalum	Tungsten	Rhenium	Osmium	Iridium	Platinum	Gold	Mercury	Thallium	Lead	Bismuth	Polonium	Astatine	Radon	Francium	Radium	Actinium	Thorium	Protactinium	Uranium
112.6	19.9456430119532	29.2700421494091	39.9752700821171	52.7064718676798	63.0199171423191	70.9921204190386	78.3160998394359	80.9285869079459	3687.76578525613	73.920749593381	53.0323475336467	47.4181227367758	46.7858529927234	41.7438940637551	41.9028805668063	29.1652016984358	0.0441008213623677	11.8607788985564	26.2926958519489	49.660393351561	58.4945576961979	22.19971	27.722751447989
112.7	19.9001543314569	29.2035302604875	39.884648478972	52.5873014717909	62.8776486998357	70.8319826643583	78.1391460631591	80.7453584133777	3679.4813914184	73.7543255281611	52.9132918023562	47.3117567695009	46.6810754766354	41.6507755229124	41.8100022209592	29.1005106474296	0.044002708653858	11.8508168452862	26.2351361273819	49.5520351237374	58.3672646633551	79.8735836797184	27.6639785250129
112.8	19.8548117741094	29.1372311378227	39.7943162985863	52.4685109591588	62.7358332013789	70.6723542579488	77.9627541423487	80.562711919384	3671.223208212	73.5884291152945	52.7946127463219	47.2057272994896	46.5766285968235	41.5579487628682	41.7174071334045	29.0360204139721	0.0439049012705855	11.8408559730898	26.1777519707714	49.4440062695633	58.2403578704153	79.7004000204092	27.6053929143546
112.9	19.809614746488	29.0711439181903	39.7042723667886	52.3500987890179	62.594468811368	70.5132331381145	77.786921817942	80.3806450992835	3662.99113028519	73.4230582292124	52.6763088487361	47.1000329721672	46.4725110260285	41.4654126235817	41.6250942345038	28.9717302101414	0.0438073980125418	11.8308963130931	26.1205427077182	49.3363055285024	58.1138358404019	79.5277406055028	27.5469938542491
113	19.7645626580759	29.0052677426005	39.6145155151745	52.2320634281794	62.4535537032448	70.3546172532779	77.6116468418359	80.1991556375508	3654.78505279864	73.2582107547095	52.5583786001953	46.9946724395675	46.3687214434456	41.3731659505829	41.5330624593635	28.9076392517332	0.0437101976853865	11.8209378963517	26.0635076669228	49.2289316457881	57.987697103099	79.3556034323725	27.4887805866978
113.1	19.7196549212449	28.9396017562732	39.525044581074	52.1144033509872	62.313086059421	70.196504561922	77.4369269768249	80.0182412297535	3646.60487142255	73.093884586885	52.4408204986578	46.8896443602951	46.2652585346874	41.2812075949412	41.4413107478114	28.8437467582404	0.0436132991004162	11.8109807538501	26.006646180169	49.1218833723932	57.8619401950161	79.1839865075604	27.4307523574466
113.2	19.6748909512391	28.8741451086144	39.4358584075181	51.9971170392753	62.1730640712265	70.038893032532	77.2627599965395	79.8378995824913	3638.45048233371	72.9300776310835	52.3236330494017	46.7849473994878	46.1621209917471	41.1895364132344	41.3498380443731	28.7800519528327	0.0435167010745338	11.8010249165017	25.9499575823077	49.0151594649992	57.736563659352	79.0128878467294	27.3729084159636
113.3	19.6302701661589	28.8088969531917	39.3469558432061	51.8802029823237	62.0334859388583	69.8817806435376	77.0891436853846	79.6581284133342	3630.32178221264	72.766787802837	52.206814764983	46.6805802287796	46.0593075129625	41.0981512675179	41.258643298248	28.7165540623369	0.0434204024302172	11.7910704151487	25.8934412112407	48.9087586859665	57.6115660459599	78.8423054746144	27.3152480154184
113.4	19.5857919869441	28.7438564477109	39.2583357424732	51.7636596768163	61.8943498713291	69.7251653832566	76.916075838479	79.4789254507619	3622.21866824075	72.6040130278064	52.0903641651939	46.576541526263	45.9568168029799	41.0070510252939	41.1677254632867	28.6532523172162	0.0433244019954893	11.7811172805616	25.8370964079042	48.8026798033045	57.4869459113124	78.6722374249747	27.2577704126598
113.5	19.5414558373582	28.6790227539918	39.1699969652579	51.6474856267978	61.7556540864169	69.5690452498369	76.7435542615947	79.3002884341032	3614.14103809743	72.4417512417241	51.9742797770217	46.4728299764526	45.854647572718	40.9162345594808	41.0770834979672	28.590145951551	0.0432286986038877	11.7711655434394	25.7809225162531	48.6969215906415	57.3627018184661	78.5026817405461	27.2004748681947
