Energy	Hydrogen	Helium	Lithium	Beryllium	Boron	Carbon	Nitrogen	Oxygen	Fluorine	Neon	Sodium	Magnesium	Aluminum	Silicon	Phosphorus	Sulfur	Chlorine	Argon	Potassium
8.4	2.93E-05	4.17E-05	0.229625957	1.829990274	5.01E+00	8.993163339	0.007635803	0.013427101	0.025026432	0.018213606	25.44970622	61.2726707	118.5372472	131.1378831	121.9867178	166.0364491	0.281511706	0.16876465	114.4071272
8.5	2.93E-05	4.13E-05	0.22404164	1.771857792	4.84E+00	8.682422627	0.007370234	0.012960731	0.024161652	0.01758892	24.58467553	59.17125311	114.5626309	126.78199	117.9720376	160.6262198	0.272246839	0.163233902	110.7624972
8.6	2.93E-05	4.09E-05	0.218724998	1.716465296	4.68E+00	8.386299317	0.007117054	0.012515937	0.023336551	0.016992654	23.75865063	57.16297853	110.7640347	122.6173236	114.1321451	155.4494075	0.263373242	0.157944087	107.2724163
8.7	2.92E-05	4.06E-05	0.21366031	1.66365401	4.52E+00	8.103948554	0.00687555	0.012091489	0.022548883	0.016423211	22.96945544	55.24271935	107.131785	118.6334509	110.4575713	150.4934593	0.254870204	0.152882287	103.9287103
8.8	2.92E-05	4.02E-05	0.208832944	1.613276034	4.37E+00	7.834583179	0.006645061	0.011686241	0.021796553	0.015879101	22.21505795	53.40568377	103.6568405	114.8206159	106.9394583	145.746627	0.246718324	0.148036402	100.7237196
8.9	2.92E-05	3.99E-05	0.204229268	1.565193493	4.23E+00	7.577469198	0.006424968	0.011299121	0.021077603	0.01535893	21.49355914	51.64739038	100.3307437	111.1696891	103.5695129	141.1979073	0.238899416	0.143395087	97.65026248
9	2.92E-05	3.95E-05	0.199836576	1.519277749	4.09E+00	7.331921651	0.006214694	0.010929131	0.020390207	0.014861397	20.80318305	49.96364493	97.14557799	107.6721209	100.3399657	136.8369871	0.231396424	0.1389477	94.70160019
9.1	2.92E-05	3.92E-05	0.195643014	1.475408692	3.96E+00	7.097300846	0.0060137	0.010575335	0.019732654	0.014385284	20.14226749	48.35051911	94.09392741	104.319899	97.24353231	132.6541935	0.224193336	0.134684252	91.87140569
9.2	2.92E-05	3.89E-05	0.191637514	1.433474089	3.84E+00	6.87300892	0.005821481	0.010236861	0.019103344	0.013929451	19.50925567	46.804331	91.16884023	101.1055096	94.27337888	128.640448	0.217275111	0.130595361	89.15373447
9.3	2.91E-05	3.87E-05	0.187809734	1.393368986	3.72E+00	6.658486684	0.005637565	0.009912889	0.018500781	0.013492829	18.90268852	45.32162727	88.36379533	98.02190139	91.42308949	124.787224	0.210627613	0.126672209	86.5429978
9.4	2.91E-05	3.84E-05	0.184150002	1.354995169	3.61E+00	6.453210753	0.005461512	0.009602653	0.01792356	0.013074418	18.32119756	43.89916673	85.67267141	95.06245279	88.68663678	121.086508	0.204237545	0.122906505	84.03393815
9.5	2.91E-05	3.81E-05	0.180649271	1.318260663	3.50E+00	6.256690904	0.005292905	0.009305435	0.017370364	0.012673278	17.76349844	42.53390527	83.08971867	92.2209415	86.05835468	117.5307641	0.198092394	0.119290448	81.62160649
9.6	2.91E-05	3.79E-05	0.177299065	1.283079277	3.39E+00	6.068467656	0.005131359	0.009020561	0.016839958	0.012288526	17.22838496	41.22298202	80.60953272	89.49151678	83.53291338	114.1129007	0.192180374	0.115816694	79.30134132
