Energy	Air, Dry (near sea level)	Blood, Whole (ICRU-44)	Brain, Grey/White Matter (ICRU-44)	Breast Tissue (ICRU-44)	Bone, Cortical (ICRU-44)	Cadmium Telluride	Gallium Arsenide	Glass, Borosilicate (Pyrex)	Muscle, Skeletal (ICRU-44)	Polyethylene Terephthalate, (Mylar)	Polymethyl Methacrylate, (PMMA)	Polytetrafluoroethylene, (Teflon)	Polyvinyl Chloride, (PVC) 	Tissue, Soft (ICRU-44)	Water, Liquid	Adipose Tissue (ICRU-44)	PLA, (XCOM)
54.4	2.39E-04	0.231672142	0.235757636	0.215585576	0.70827561	52.75323047	14.33337861	0.607842594	0.21100761	0.270719932	0.241045864	0.446892349	0.546818886	0.226393694	0.214431011	0.192863542	0.22017
54.5	2.38E-04	0.231491066	0.235566871	0.215443041	0.706257374	52.49371894	14.26178842	0.606549396	0.210822462	0.27056343	0.240857688	0.446395816	0.545083922	0.226201598	0.214256153	0.192754835	0.21997
54.6	2.38E-04	0.23131133	0.235377501	0.215301544	0.704251398	52.2359441	14.19069562	0.605265724	0.210638671	0.270408065	0.24067015	0.445902924	0.543361563	0.226010894	0.214082569	0.192646903	0.21977
54.7	2.38E-04	0.231132923	0.235189512	0.215161076	0.702257584	51.97989144	14.12009587	0.603991492	0.210456223	0.270253826	0.240483246	0.44541364	0.541651695	0.225821571	0.213910247	0.192539739	0.21957
54.8	2.38E-04	0.230955832	0.235002892	0.215021627	0.700275837	51.72554658	14.04998486	0.602726611	0.210275106	0.270100704	0.240296973	0.44492793	0.539954203	0.225633615	0.213739175	0.192433337	0.21937
54.9	2.38E-04	0.230780046	0.234817629	0.21488319	0.698306064	51.47289528	13.98035834	0.601470997	0.210095309	0.269948688	0.240111328	0.444445761	0.538268977	0.225447015	0.213569343	0.192327688	0.21917
55	2.37E-04	0.230605552	0.23463371	0.214745754	0.696348169	51.22192346	13.91121208	0.600224566	0.209916819	0.269797768	0.239926307	0.443967103	0.536595905	0.225261758	0.213400738	0.192222788	0.21897
55.1	2.37E-04	0.230432338	0.234451124	0.21460931	0.694402061	50.97261717	13.84254191	0.598987233	0.209739624	0.269647934	0.239741908	0.443491922	0.534934879	0.225077832	0.213233351	0.192118629	0.21877
55.2	2.37E-04	0.230260393	0.234269857	0.214473849	0.692467647	50.72496259	13.77434372	0.597758915	0.209563714	0.269499177	0.239558126	0.443020188	0.533285789	0.224895225	0.213067169	0.192015204	0.21858
55.3	2.37E-04	0.230089705	0.234089899	0.214339364	0.690544836	50.47894605	13.7066134	0.596539532	0.209389075	0.269351487	0.23937496	0.442551869	0.531648529	0.224713925	0.212902182	0.191912507	0.21838
55.4	2.37E-04	0.229920263	0.233911237	0.214205844	0.688633539	50.23455401	13.63934693	0.595329001	0.209215697	0.269204854	0.239192406	0.442086934	0.530022993	0.224533922	0.212738379	0.191810532	0.21819
55.5	2.37E-04	0.229752055	0.23373386	0.214073281	0.686733666	49.99177306	13.57254031	0.594127243	0.209043568	0.269059269	0.23901046	0.441625353	0.528409076	0.224355202	0.212575751	0.191709272	0.218
55.6	2.36E-04	0.229585071	0.233557756	0.213941666	0.684845129	49.75058992	13.50618957	0.592934179	0.208872678	0.268914723	0.238829119	0.441167095	0.526806674	0.224177755	0.212414285	0.191608721	0.21781
55.7	2.36E-04	0.229419299	0.233382914	0.213810992	0.682967839	49.51099145	13.44029079	0.59174973	0.208703014	0.268771205	0.238648382	0.440712131	0.525215685	0.224001569	0.212253972	0.191508873	0.21762
