Energy	Zirconium	Tin	Calcium	Scandium	Titanium	Vanadium	Chromium	Manganese	Iron	Cobalt	Nickel	Copper	Zinc	Gallium	Germanium	Arsenic	Selenium	Bromine	Krypton	Rubidium	Strontium	Yttrium	Niobium	Molybdenum	Technetium	Ruthenium	Rhodium	Palladium	Silver	Cadmium	Indium	Antimony	Tellurium	Iodine	Xenon	Cesium	Barium	Lanthanum	Cerium	Praseodymium	Neodymium	Promethium	Samarium	Europium	Gadolinium	Terbium	Dysprosium	Holmium	Erbium	Thulium
28	195.619758501491	65.6612503020045	7.78557405025484	16.6295047360094	27.8607663124824	39.7094576510467	58.6096329847898	65.0154806668302	78.4523914387104	97.0425164848985	111.646458948444	116.226229076231	104.228513545102	91.240344864928	89.0594099238261	35.7561570760394	92.7202747785342	65.9600699693365	0.0838585151068046	37.0611644502069	68.6850709803782	125.585756473477	274.958301883786	347.249931799982	413.240557142418	459.15343402164	494.688408818421	492.879066496261	459.890568436939	391.067651465184	343.96450893207	62.068896774703	59.8365691987501	51.7047488135834	0.0627665627313631	21.6926629086094	41.781916124379	78.4133846596395	90.7463587129405	96.7278795773805	104.769445032565	103.128671405452	123.470323986654	91.5158624961219	139.762425653586	154.049349617867	167.097996901605	174.205411642965	187.058641276413	209.17194880758
28.1	193.753915439024	65.0736215350942	7.70415222526663	16.465861122884	27.5824110932551	39.3171921549912	58.0440461643506	64.3715069266762	77.6754754731729	96.078023126218	110.540629536942	115.077533389256	103.200890727703	90.344864002793	88.1862155717057	35.4060690637837	91.81557943558	65.3214375676785	0.0830475300885518	36.7029327714925	68.0235732686158	124.382129582451	272.351013836385	343.978572105826	409.374645612862	454.889890561516	490.133803278139	488.379499485921	455.725044371463	387.541245496431	340.903774524008	61.4903853499628	59.2829671191898	51.2358496362976	0.062192138715862	21.4921754792124	41.3869267663593	77.6809714170984	89.898673466573	95.8246963690137	103.78734542641	102.155424312373	122.305133396851	90.6495762521215	138.443045040947	152.596040048368	165.524057832145	172.567559885702	185.302027198114	207.211122266558
28.2	191.911950074316	64.49372812407	7.62382284158355	16.3044320166392	27.3078078893576	38.9302385183124	57.4859609542666	63.73620362119	76.9090210545697	95.1264179786206	109.449640643906	113.94459020894	102.186974884258	89.4612649648623	87.3245883601637	35.0606081846433	90.9227901087997	64.6911520247011	0.0822471058537288	36.3493484590329	67.3706059840896	123.193933176103	269.776637595391	340.748166669645	405.556577488632	450.678520201714	485.634176781845	483.933650970347	451.608860190483	384.056607513908	337.878437960411	60.9194614283993	58.7366416258078	50.7731424096468	0.061625278252549	21.2943225559424	40.9970942752785	76.958165375412	89.062130275279	94.9333866893989	102.8181152577	101.194862780614	121.155123816381	89.7946565273586	137.140924440361	151.161717310677	163.970573455181	170.950882377192	183.568079864541	205.275520953014
28.3	190.093483094287	63.9214414377837	7.54456745719912	16.145179789367	27.036893161191	38.5485064946821	56.9352517933065	63.1094242283053	76.1528514960963	94.1874847816971	108.373242702724	112.827131067764	101.186537055479	88.5893502246332	86.4743365128142	34.7196979878816	90.0417110624535	64.069076839228	0.0814570708327424	36.0003366021879	66.7260328261456	122.02092248835	267.234662152739	337.558086323763	401.78563027364	446.518547817358	481.188729124213	479.540750634694	447.541314401293	380.613140710691	334.888012439119	60.3559992072791	58.1974718805951	50.3165239504651	0.0610658555954647	21.0990604151278	40.6123335006587	76.2448073604991	88.2365442889176	94.0537535712439	101.861541602007	100.246777808523	120.020045276106	88.9509151101186	135.855779045454	149.746068523074	162.437208032867	169.355032915115	181.856429294646	203.364734096055
28.4	188.298142314414	63.3566354262064	7.46636800480563	15.9880675815464	26.7696046627638	38.1719076791392	56.3917956550057	62.491025199659	75.4067936923798	93.2610116329835	107.311191177992	111.724892946124	100.199352862289	87.7289261886678	85.6352720571108	34.383263531882	89.1721504015896	63.4550781775507	0.0806772567758838	35.655823722052	66.0897200676457	120.862857332206	264.724585785006	334.407713173192	398.061094098896	442.409211514856	476.796673346085	475.200040648766	443.521716763612	377.210257966171	331.932018591472	59.7998754019881	57.6653394670696	49.8658931487842	0.0605137475201751	20.9063462084913	40.2325609896592	75.5407413795229	87.4217343546434	93.1856039856126	100.91741578256	99.3109645494225	118.899652772486	88.1181675441451	134.587329710487	148.348787013583	160.923632470476	167.779672127299	180.166712794916	201.478359000264
28.5	186.525562525596	62.7991865598372	7.38920678290423	15.833059283741	26.5058814109674	37.800355464297	55.8554719878152	61.8808658902609	74.6706780349372	92.3467908856577	106.263246447554	110.637618144557	99.2252023994023	86.8798031056446	84.8072107368409	34.0512313496505	88.3139199848828	62.8490248130846	0.0799074986792411	35.3157377400644	65.4615364994694	119.719502002204	262.24591586331	331.296440369176	394.382271477898	438.349762384434	472.457235498344	470.910775451648	439.5493880982	373.847381677399	329.009984365829	59.2509691870472	57.140128333509	49.4211509191348	0.0599688332646466	20.7161379426536	39.8576949474712	74.8458145465468	86.6175229304752	92.3287487499106	99.9855332712044	98.3872222150191	117.793706152257	87.2962330411229	133.33530281901	146.96957217612	159.429524162861	166.224467314205	178.498574791583	199.616000860061
28.6	184.775385344681	62.2489737707393	7.31306644715593	15.6801195187942	26.2456636556836	37.4337649977373	55.3261626568659	61.2788084900586	73.9443383299072	91.4446190489723	105.229173687692	109.565054159359	98.2638701317106	86.041794977797	83.9899719269011	33.7235294152114	87.4668353397041	62.2507880675687	0.0791476347124736	34.980007947387	64.8413533763435	118.590625179112	259.798168667454	328.223671887649	390.748477067045	434.339464257475	468.169654410004	466.672221539947	435.623660098619	370.523943593353	326.121444912679	58.7091621387096	56.6217247377048	48.9822001531548	0.059430994471704	20.5283944591859	39.4876551987696	74.1598770101757	85.8237360011734	91.4830024383259	99.0656935920097	97.4753539813811	116.701970000171	86.48493439549	132.099430155999	145.608129330433	157.954566844966	164.68909229556	176.851666667239	197.777272578936
28.7	183.047259068558	61.7058783951542	7.23793000196631	15.529213624506	25.9888928507002	37.0720531405568	54.8037518873014	60.6847179573425	73.2276117179875	90.5542966913419	104.208742761351	108.506953561493	97.3151447934012	85.2147194746707	83.1833785502891	33.4000871108693	86.6307155793648	61.6602417537658	0.0783975061483954	34.6485649750327	64.22904436397	117.475999836897	257.380869204209	325.188822312508	387.159037430965	430.377593468576	463.933181460443	462.483657259609	431.74387514608	367.239384652063	323.265942471344	58.1743381790906	56.1100171931941	48.5489456734667	0.0589001151330277	20.343075415195	39.1223631501895	73.4827818831245	85.0402029963569	90.6481832946529	98.1577002274295	96.5751668974057	115.624213529703	85.6840979015082	130.879448783361	144.264169585743	156.498450446275	163.173227261017	175.225646601742	195.96179459342
28.8	181.340838531717	61.1697841176464	7.16378079229667	15.3803076367791	25.7355116254098	36.7151384270301	54.2881262091306	60.0984619539338	72.5203385965103	89.6756283460062	103.201728109348	107.463073878683	96.3788192897153	84.3983978491305	82.387256997247	33.0808351953131	85.8053833224686	61.0772621196188	0.0776569572943183	34.3213407647212	63.6244854874151	116.375403151874	254.993551029649	322.191316623576	383.613290812671	426.463438622222	459.747080355722	458.344372601252	427.90938612736	363.993154820562	320.443026258262	57.6463835217849	55.604896416922	48.1212941887851	0.0583760815346415	20.1601412644246	38.7617417537979	72.8143851736557	84.2667567107931	89.8241131474277	97.2613605269485	95.6864717957014	114.56021047664	84.8935532725254	129.675100918724	142.937409707956	155.06087094907	161.676558624725	173.620179417272	194.169194701649
28.9	179.655784967192	60.6405769167327	7.09060249569491	15.233368273217	25.4854637572677	36.3629410253562	53.7791744035544	59.5199107821029	71.8223625435933	88.8084224191906	102.207908644436	106.433177480607	95.4546906012761	83.5926548555521	81.6014370464942	32.7657057725376	84.9906646143138	60.5017277938235	0.0769258354251056	33.9982685404456	63.0275550807275	115.288616413993	252.635756075428	319.230589989164	380.110586908434	422.59630036401	455.61062690892	454.253668998973	424.119556255732	360.784712937624	317.652252356851	57.1251866189265	55.1062552782945	47.6991542502173	0.0578587822038472	19.9795532388569	38.4057154715305	72.1545457188301	83.5032332267961	89.0106173273062	96.3764856181378	94.8090832058164	113.509738995468	84.1131335623659	128.486133817391	141.62757199036	153.641530250398	160.198778883691	172.034936427428	192.399107896378
29	177.991765870799	60.1181450119514	7.01837911453944	15.0883629171629	25.2386941449869	36.0153826994553	53.2767874507227	58.9489373231661	71.1335302443037	87.9524911006921	101.227067648171	105.417031467101	94.5425596909101	82.7973186701354	80.8257517884898	32.45463226156	84.1863888502885	59.9335197327788	0.0762039907178897	33.6792827807287	62.4381337377551	114.215424940195	250.307034478923	316.306087563123	376.65028664728	418.775491156321	451.523108824435	450.210859132596	420.373758894888	357.613526559245	314.893183608927	56.6106381096482	54.6139887495776	47.2824362087213	0.0573481078575631	19.8012733308009	38.0542102405645	71.5031251195173	82.7494718386698	88.2075245866171	95.5028903200479	93.9428192697407	112.472581558469	83.3426750887836	127.312299657398	140.334384127687	152.240136027626	158.739586479827	170.46959529024	190.65117620234
29.1	176.348454868588	320.88020544644	6.94709496848978	14.9452596021648	24.995148782447	35.6723867717844	52.7808584788783	58.3854169777102	70.4536914187745	87.107650276817	100.258992670474	104.414407559281	93.6422314128879	82.0122208132766	80.0600375506656	32.1475493669075	83.3923887012011	59.3725211688723	0.0754912761884075	33.3643191915509	61.8561042641284	113.155617989797	248.006944417131	313.417264286282	373.231761975014	415.000335058371	447.483825486171	446.215266733288	416.6713773858	354.479071806829	312.16538950769	56.1026307698992	54.1279938576054	46.871052173688	0.0568439513520237	19.6252642754514	37.7071534396002	70.8599876771129	82.0053149791361	87.4146670210281	94.6403930588714	93.0875016596173	111.448524857457	82.5820173589183	126.153355427545	139.057579093457	150.856401607494	157.298685665572	168.923839864982	188.92504851779
29.2	174.72553158741	318.185473294283	6.87673468713757	14.8040269968546	24.7547747332967	35.3338780871415	52.2912827148468	57.8292276073979	69.7826987522172	86.2737194456022	99.3034754318267	103.425081993494	92.7535144245164	81.2371960739422	79.3041338245745	31.8443930498557	82.608500040493	58.8186175600681	0.0747875476289101	33.0533146799341	61.28135163038	112.108988681856	245.735051944266	310.563584692174	369.854395642682	411.270167510548	443.492087749565	442.266226392526	413.011804876498	351.380833218034	309.468446092245	55.6010594635801	53.648169636756	46.464915972612	0.0563462076338018	19.4514895339066	37.3644738560243	70.2250003319128	81.2706081476888	86.6318799932605	93.7888157858074	92.2429554975957	110.437359708064	81.8310029966974	125.00906281835	137.796895020493	149.490045838548	155.87578637298	167.397360072684	187.220380460144
